event_id,split,reference_theta_deg,reference_phi_deg,reference_energy_eev,selected_stations,zenith_bin,multiplicity_bin,energy_bin,stratum
40850926700,train,38.14,316.5,3.007,6.0,30-45,6-7,q1,30-45|6-7|q1
41030408300,validation,6.46,240.74,4.768,6.0,0-15,6-7,q3,0-15|6-7|q3
41301677900,train,25.38,51.8,3.965,8.0,15-30,8-11,q2,15-30|8-11|q2
41314090300,train,44.7,143.38,3.618,8.0,30-45,8-11,q2,30-45|8-11|q2
41386116600,train,28.6,175.55,13.89,8.0,15-30,8-11,q4,15-30|8-11|q4
41801363100,test,36.64,186.15,2.7,6.0,30-45,6-7,q1,30-45|6-7|q1
41914977200,train,37.42,347.92,4.509,6.0,30-45,6-7,q2,30-45|6-7|q2
42135978600,train,47.76,228.93,3.282,8.0,45-60,8-11,q1,45-60|8-11|q1
42205560100,train,47.15,279.45,3.444,6.0,45-60,6-7,q2,45-60|6-7|q2
43421124800,train,43.0,330.91,2.864,8.0,30-45,8-11,q1,30-45|8-11|q1
43494691500,train,38.58,267.51,3.199,8.0,30-45,8-11,q1,30-45|8-11|q1
50474148300,train,45.18,106.11,8.75,8.0,45-60,8-11,q4,45-60|8-11|q4
50631362300,train,6.64,82.68,6.151,6.0,0-15,6-7,q3,0-15|6-7|q3
50722062400,test,27.09,147.08,5.459,6.0,15-30,6-7,q3,15-30|6-7|q3
50742424600,validation,35.88,21.27,9.171,7.0,30-45,6-7,q4,30-45|6-7|q4
50774584600,train,49.77,215.22,7.49,8.0,45-60,8-11,q3,45-60|8-11|q3
51026391500,test,59.21,54.77,8.24,7.0,45-60,6-7,q4,45-60|6-7|q4
51052781100,validation,37.42,21.54,4.023,8.0,30-45,8-11,q2,30-45|8-11|q2
51361456500,validation,22.49,139.2,3.789,6.0,15-30,6-7,q2,15-30|6-7|q2
51500308800,validation,41.14,270.42,5.7,8.0,30-45,8-11,q3,30-45|8-11|q3
51511972600,test,19.92,93.59,7.189,8.0,15-30,8-11,q3,15-30|8-11|q3
51686630200,test,34.03,248.88,9.011,6.0,30-45,6-7,q4,30-45|6-7|q4
51995945600,train,58.7,304.62,4.916,7.0,45-60,6-7,q3,45-60|6-7|q3
52071357100,validation,39.46,49.3,3.483,6.0,30-45,6-7,q2,30-45|6-7|q2
52095262800,test,55.32,101.54,5.575,9.0,45-60,8-11,q3,45-60|8-11|q3
52740458700,train,41.28,232.42,10.808,9.0,30-45,8-11,q4,30-45|8-11|q4
52751030701,train,47.88,344.71,16.817,13.0,45-60,12+,q4,45-60|12+|q4
52762129500,validation,21.98,175.86,4.105,7.0,15-30,6-7,q2,15-30|6-7|q2
52802516400,train,36.63,124.34,8.551,7.0,30-45,6-7,q4,30-45|6-7|q4
52903283300,train,47.08,208.15,27.997,13.0,45-60,12+,q4,45-60|12+|q4
53117914400,train,12.08,355.45,16.535,8.0,0-15,8-11,q4,0-15|8-11|q4
53158540700,test,6.67,262.65,4.222,7.0,0-15,6-7,q2,0-15|6-7|q2
53191768500,train,58.67,128.93,18.515,14.0,45-60,12+,q4,45-60|12+|q4
53200335400,train,40.21,128.26,4.439,9.0,30-45,8-11,q2,30-45|8-11|q2
53275880800,train,29.46,140.24,5.56,8.0,15-30,8-11,q3,15-30|8-11|q3
53294830100,train,41.55,169.46,8.049,7.0,30-45,6-7,q4,30-45|6-7|q4
53355056300,validation,24.69,12.58,6.583,8.0,15-30,8-11,q3,15-30|8-11|q3
53422396600,train,45.47,32.63,3.624,6.0,45-60,6-7,q2,45-60|6-7|q2
53632773700,train,13.73,166.76,36.924,9.0,0-15,8-11,q4,0-15|8-11|q4
60222782400,validation,35.5,244.73,26.632,13.0,30-45,12+,q4,30-45|12+|q4
60274533000,test,50.58,264.46,5.377,10.0,45-60,8-11,q3,45-60|8-11|q3
60662639900,validation,43.86,243.06,4.311,8.0,30-45,8-11,q2,30-45|8-11|q2
60662831000,train,13.78,259.57,5.838,6.0,0-15,6-7,q3,0-15|6-7|q3
60675864400,train,28.06,181.45,3.939,6.0,15-30,6-7,q2,15-30|6-7|q2
60684021500,train,43.62,213.13,32.209,13.0,30-45,12+,q4,30-45|12+|q4
60687926300,train,56.6,27.65,2.503,6.0,45-60,6-7,q1,45-60|6-7|q1
60745045800,train,20.22,71.83,20.1,9.0,15-30,8-11,q4,15-30|8-11|q4
60815505400,test,34.09,311.1,70.175,15.0,30-45,12+,q4,30-45|12+|q4
60854118300,train,9.33,150.83,4.002,6.0,0-15,6-7,q2,0-15|6-7|q2
61035606600,train,49.94,254.37,47.125,19.0,45-60,12+,q4,45-60|12+|q4
61142448700,train,41.29,258.26,2.66,6.0,30-45,6-7,q1,30-45|6-7|q1
61237294100,train,13.73,123.59,3.862,6.0,0-15,6-7,q2,0-15|6-7|q2
61437890900,train,43.41,111.59,2.993,8.0,30-45,8-11,q1,30-45|8-11|q1
61454411100,train,56.92,299.56,3.376,8.0,45-60,8-11,q2,45-60|8-11|q2
61463101100,test,10.98,266.13,24.536,10.0,0-15,8-11,q4,0-15|8-11|q4
61481335300,train,52.46,283.7,6.599,12.0,45-60,12+,q3,45-60|12+|q3
61486202600,train,49.03,203.6,2.703,6.0,45-60,6-7,q1,45-60|6-7|q1
61562847400,train,14.36,320.5,7.356,8.0,0-15,8-11,q3,0-15|8-11|q3
61563717400,test,40.81,41.18,4.696,8.0,30-45,8-11,q2,30-45|8-11|q2
61588000300,train,27.67,264.84,4.003,6.0,15-30,6-7,q2,15-30|6-7|q2
61737592001,train,10.21,299.49,3.604,7.0,0-15,6-7,q2,0-15|6-7|q2
61841956300,train,59.26,112.38,2.858,8.0,45-60,8-11,q1,45-60|8-11|q1
61968035800,train,38.38,291.92,2.943,8.0,30-45,8-11,q1,30-45|8-11|q1
61996201600,test,43.63,207.27,3.316,7.0,30-45,6-7,q1,30-45|6-7|q1
62201372800,train,28.32,214.62,3.053,6.0,15-30,6-7,q1,15-30|6-7|q1
62201435400,validation,48.9,252.52,5.83,6.0,45-60,6-7,q3,45-60|6-7|q3
62233313200,train,31.65,218.83,7.652,8.0,30-45,8-11,q4,30-45|8-11|q4
62244805800,test,13.46,333.38,5.952,8.0,0-15,8-11,q3,0-15|8-11|q3
62247605100,train,39.31,265.92,19.829,11.0,30-45,8-11,q4,30-45|8-11|q4
62336716400,train,12.83,38.51,5.606,6.0,0-15,6-7,q3,0-15|6-7|q3
62533210600,test,46.39,154.06,4.633,7.0,45-60,6-7,q2,45-60|6-7|q2
62638316700,test,49.66,241.49,8.582,11.0,45-60,8-11,q4,45-60|8-11|q4
62702469900,train,27.77,38.6,16.557,10.0,15-30,8-11,q4,15-30|8-11|q4
62872984600,train,57.25,331.23,5.653,12.0,45-60,12+,q3,45-60|12+|q3
63074247700,test,29.85,190.31,7.443,9.0,15-30,8-11,q3,15-30|8-11|q3
63102975600,validation,51.14,323.7,3.792,8.0,45-60,8-11,q2,45-60|8-11|q2
63380539200,train,26.75,40.99,4.603,6.0,15-30,6-7,q2,15-30|6-7|q2
63452977500,train,26.27,66.89,4.676,6.0,15-30,6-7,q2,15-30|6-7|q2
63453585100,validation,17.81,269.08,21.0,9.0,15-30,8-11,q4,15-30|8-11|q4
63570414200,train,6.55,140.14,3.712,6.0,0-15,6-7,q2,0-15|6-7|q2
63616098300,validation,50.84,286.64,6.563,9.0,45-60,8-11,q3,45-60|8-11|q3
63630537600,test,21.61,271.29,4.744,6.0,15-30,6-7,q3,15-30|6-7|q3
70012317200,train,49.53,295.62,6.378,9.0,45-60,8-11,q3,45-60|8-11|q3
70026289900,train,22.64,242.75,9.319,7.0,15-30,6-7,q4,15-30|6-7|q4
70027733300,train,40.91,102.28,21.1,14.0,30-45,12+,q4,30-45|12+|q4
70114766300,validation,59.64,49.87,3.178,10.0,45-60,8-11,q1,45-60|8-11|q1
70137858700,train,14.32,86.42,144.115,13.0,0-15,12+,q4,0-15|12+|q4
70235937501,train,39.45,260.88,2.302,7.0,30-45,6-7,q1,30-45|6-7|q1
70330020700,validation,50.24,51.93,3.152,7.0,45-60,6-7,q1,45-60|6-7|q1
70354479300,train,52.62,311.12,11.598,9.0,45-60,8-11,q4,45-60|8-11|q4
70502136800,validation,48.65,162.23,3.58,7.0,45-60,6-7,q2,45-60|6-7|q2
70597067100,train,19.09,252.39,8.745,7.0,15-30,6-7,q4,15-30|6-7|q4
70615916900,train,46.39,62.22,4.724,7.0,45-60,6-7,q3,45-60|6-7|q3
70717920900,train,21.43,12.61,49.015,13.0,15-30,12+,q4,15-30|12+|q4
70767063900,train,28.93,180.48,13.131,9.0,15-30,8-11,q4,15-30|8-11|q4
70768502500,train,8.18,210.29,14.278,8.0,0-15,8-11,q4,0-15|8-11|q4
71037143400,validation,19.94,301.24,2.973,6.0,15-30,6-7,q1,15-30|6-7|q1
71116613401,train,18.3,348.09,12.393,7.0,15-30,6-7,q4,15-30|6-7|q4
71294336700,validation,19.17,239.49,10.582,8.0,15-30,8-11,q4,15-30|8-11|q4
71344648400,test,50.55,312.43,16.886,14.0,45-60,12+,q4,45-60|12+|q4
71665586700,validation,30.41,276.19,15.263,9.0,30-45,8-11,q4,30-45|8-11|q4
71702713200,train,11.43,67.11,4.144,6.0,0-15,6-7,q2,0-15|6-7|q2
71728513800,train,35.32,83.06,4.007,6.0,30-45,6-7,q2,30-45|6-7|q2
71742188100,train,6.89,100.19,3.911,6.0,0-15,6-7,q2,0-15|6-7|q2
71770506800,train,56.97,26.7,6.72,14.0,45-60,12+,q3,45-60|12+|q3
